date,year,month,day,fips,county,state,lat,long,tmax,tmin
1900-08-03,1900,8,3,6055,Napa County,CA,38.5,-122.49999999965232,31.052,11.9184
1900-08-04,1900,8,4,6055,Napa County,CA,38.5,-122.49999999965232,30.9186,11.8779
1900-08-05,1900,8,5,6055,Napa County,CA,38.5,-122.49999999965232,30.7846,11.8368
1900-08-06,1900,8,6,6055,Napa County,CA,38.5,-122.49999999965232,30.6506,11.795
1900-08-07,1900,8,7,6055,Napa County,CA,38.5,-122.49999999965232,30.517,11.7525
1900-08-08,1900,8,8,6055,Napa County,CA,38.5,-122.49999999965232,30.3845,11.7096
1900-08-09,1900,8,9,6055,Napa County,CA,38.5,-122.49999999965232,30.2535,11.6661
1900-08-10,1900,8,10,6055,Napa County,CA,38.5,-122.49999999965232,30.1246,11.6223
1900-08-11,1900,8,11,6055,Napa County,CA,38.5,-122.49999999965232,29.9983,11.5782
1900-08-12,1900,8,12,6055,Napa County,CA,38.5,-122.49999999965232,29.8751,11.5339
1900-08-13,1900,8,13,6055,Napa County,CA,38.5,-122.49999999965232,29.7557,11.4893
1900-08-14,1900,8,14,6055,Napa County,CA,38.5,-122.49999999965232,29.6405,11.4447
1900-08-15,1900,8,15,6055,Napa County,CA,38.5,-122.49999999965232,29.53,11.4
1900-08-16,1900,8,16,6055,Napa County,CA,38.5,-122.49999999965232,29.4247,11.3554
1900-08-17,1900,8,17,6055,Napa County,CA,38.5,-122.49999999965232,29.3243,11.3107
1900-08-18,1900,8,18,6055,Napa County,CA,38.5,-122.49999999965232,29.2284,11.2661
1900-08-19,1900,8,19,6055,Napa County,CA,38.5,-122.49999999965232,29.1367,11.2214
1900-08-20,1900,8,20,6055,Napa County,CA,38.5,-122.49999999965232,29.0487,11.1767
1900-08-21,1900,8,21,6055,Napa County,CA,38.5,-122.49999999965232,28.964,11.132
1900-08-22,1900,8,22,6055,Napa County,CA,38.5,-122.49999999965232,28.8823,11.0871
1900-08-23,1900,8,23,6055,Napa County,CA,38.5,-122.49999999965232,28.8032,11.0422
1900-08-24,1900,8,24,6055,Napa County,CA,38.5,-122.49999999965232,28.7263,10.9971
1900-08-25,1900,8,25,6055,Napa County,CA,38.5,-122.49999999965232,28.6512,10.9519
1900-08-26,1900,8,26,6055,Napa County,CA,38.5,-122.49999999965232,28.5775,10.9065
1900-08-27,1900,8,27,6055,Napa County,CA,38.5,-122.49999999965232,28.5048,10.860900000000001
1900-08-28,1900,8,28,6055,Napa County,CA,38.5,-122.49999999965232,28.4327,10.8151
1900-08-29,1900,8,29,6055,Napa County,CA,38.5,-122.49999999965232,28.3609,10.769
1900-08-30,1900,8,30,6055,Napa County,CA,38.5,-122.49999999965232,28.289,10.7227
1900-08-31,1900,8,31,6055,Napa County,CA,38.5,-122.49999999965232,28.2165,10.6762
1900-09-01,1900,9,1,6055,Napa County,CA,38.5,-122.49999999965232,28.143,10.6293
1900-09-02,1900,9,2,6055,Napa County,CA,38.5,-122.49999999965232,28.0683,10.5821
1900-09-03,1900,9,3,6055,Napa County,CA,38.5,-122.49999999965232,27.9918,10.5346
1900-09-04,1900,9,4,6055,Napa County,CA,38.5,-122.49999999965232,27.9133,10.4867
1900-09-05,1900,9,5,6055,Napa County,CA,38.5,-122.49999999965232,27.8323,10.4384
1900-09-06,1900,9,6,6055,Napa County,CA,38.5,-122.49999999965232,27.7484,10.3897
1900-09-07,1900,9,7,6055,Napa County,CA,38.5,-122.49999999965232,27.6613,10.3406
1900-09-08,1900,9,8,6055,Napa County,CA,38.5,-122.49999999965232,27.5705,10.2911
1900-09-09,1900,9,9,6055,Napa County,CA,38.5,-122.49999999965232,27.4756,10.2411
1900-09-10,1900,9,10,6055,Napa County,CA,38.5,-122.49999999965232,27.3763,10.1906
1900-09-11,1900,9,11,6055,Napa County,CA,38.5,-122.49999999965232,27.2723,10.1396
1900-09-12,1900,9,12,6055,Napa County,CA,38.5,-122.49999999965232,27.163,10.088
1900-09-13,1900,9,13,6055,Napa County,CA,38.5,-122.49999999965232,27.0481,10.0359
1900-09-14,1900,9,14,6055,Napa County,CA,38.5,-122.49999999965232,26.9272,9.9833
1900-09-15,1900,9,15,6055,Napa County,CA,38.5,-122.49999999965232,26.8,9.93
1900-09-16,1900,9,16,6055,Napa County,CA,38.5,-122.49999999965232,26.6661,9.8762
1900-09-17,1900,9,17,6055,Napa County,CA,38.5,-122.49999999965232,26.5259,9.8218
1900-09-18,1900,9,18,6055,Napa County,CA,38.5,-122.49999999965232,26.3797,9.7671
1900-09-19,1900,9,19,6055,Napa County,CA,38.5,-122.49999999965232,26.2279,9.7122
1900-09-20,1900,9,20,6055,Napa County,CA,38.5,-122.49999999965232,26.071,9.6572
1900-09-21,1900,9,21,6055,Napa County,CA,38.5,-122.49999999965232,25.909300000000002,9.6022
1900-09-22,1900,9,22,6055,Napa County,CA,38.5,-122.49999999965232,25.7432,9.5473
1900-09-23,1900,9,23,6055,Napa County,CA,38.5,-122.49999999965232,25.5731,9.4927
1900-09-24,1900,9,24,6055,Napa County,CA,38.5,-122.49999999965232,25.3995,9.4385
1900-09-25,1900,9,25,6055,Napa County,CA,38.5,-122.49999999965232,25.2227,9.3849
1900-09-26,1900,9,26,6055,Napa County,CA,38.5,-122.49999999965232,25.043,9.3319
1900-09-27,1900,9,27,6055,Napa County,CA,38.5,-122.49999999965232,24.861,9.2797
1900-09-28,1900,9,28,6055,Napa County,CA,38.5,-122.49999999965232,24.677,9.2284
1900-09-29,1900,9,29,6055,Napa County,CA,38.5,-122.49999999965232,24.4915,9.1782
1900-09-30,1900,9,30,6055,Napa County,CA,38.5,-122.49999999965232,24.3047,9.1291
